cart_id,user_id,product_id,quantity,price,total_cart_value
1,33,168,3,32999.99,98999.97
1,33,78,2,1999.99,3999.98
1,33,183,5,24.99,124.94999999999999
1,33,100,5,129.99,649.95
2,142,144,4,44.99,179.96
2,142,124,4,899.99,3599.96
2,142,148,4,9.99,39.96
2,142,122,3,299.99,899.97
2,142,110,5,14.99,74.95
3,108,98,1,13999.99,13999.99
3,108,125,5,249.99,1249.95
3,108,55,2,6.99,13.98
3,108,62,2,5.99,11.98
3,108,132,3,499.99,1499.97
4,87,187,5,49.99,249.95000000000002
4,87,40,5,3.99,19.950000000000003
4,87,156,5,34.99,174.95000000000002
4,87,62,2,5.99,11.98
5,134,108,2,29.99,59.98
5,134,138,5,8.99,44.95
5,134,157,2,19.99,39.98
5,134,8,3,89.99,269.96999999999997
5,134,80,5,1399.99,6999.95
5,134,28,3,5.49,16.47
6,150,172,5,49.99,249.95000000000002
6,150,112,3,499.99,1499.97
6,150,97,3,10999.99,32999.97
6,150,128,3,149.99,449.97
7,86,167,5,28999.99,144999.95
7,86,111,4,12.99,51.96
7,86,129,2,299.99,599.98
8,23,117,2,7499.99,14999.98
8,23,18,4,8.99,35.96
8,23,105,5,99.99,499.95
8,23,6,3,49.99,149.97
9,194,178,2,89.99,179.98
9,194,191,4,15999.99,63999.96
9,194,47,2,49.99,99.98
9,194,134,5,249.99,1249.95
10,160,190,5,4999.99,24999.949999999997
10,160,94,3,1499.99,4499.97
11,172,88,1,149.99,149.99
11,172,32,3,3.49,10.47
11,172,74,3,4.99,14.97
11,172,145,3,29.99,89.97
11,172,26,3,0.99,2.9699999999999998
11,172,127,1,299.99,299.99
12,202,63,4,7.99,31.96
12,202,181,5,179.99,899.95
13,41,85,2,34.99,69.98
13,41,109,3,19.99,59.97
13,41,160,1,599.99,599.99
13,41,163,3,19.99,59.97
13,41,31,4,0.79,3.16
14,94,92,3,109.99,329.96999999999997
14,94,54,5,8.99,44.95
14,94,76,1,11.99,11.99
14,94,44,5,29.99,149.95
14,94,67,3,15.99,47.97
14,94,16,1,1.99,1.99
15,11,11,5,1899.99,9499.95
15,11,133,3,699.99,2099.9700000000003
15,11,111,3,12.99,38.97
15,11,162,3,29.99,89.97
15,11,30,5,2.49,12.450000000000001
16,200,19,2,9.99,19.98
16,200,152,3,49.99,149.97
16,200,35,1,2.29,2.29
17,141,1,2,9.99,19.98
17,141,60,3,10.99,32.97
17,141,74,4,4.99,19.96
17,141,44,4,29.99,119.96
18,189,127,4,299.99,1199.96
18,189,24,3,14.99,44.97
18,189,20,5,4.99,24.950000000000003
18,189,154,3,29.99,89.97
18,189,44,2,29.99,59.98
18,189,5,5,8.99,44.95
19,59,187,3,49.99,149.97
19,59,153,5,11.99,59.95
19,59,34,3,7.99,23.97
19,59,130,2,349.99,699.98
20,90,107,1,49.99,49.99
20,90,193,3,799.99,2399.9700000000003
20,90,100,3,129.99,389.97
20,90,90,5,89.99,449.95
20,90,118,5,8.99,44.95
20,90,166,5,39.99,199.95000000000002
21,42,77,2,5.99,11.98
21,42,91,2,119.99,239.98
22,140,73,5,19.99,99.94999999999999
22,140,2,2,19.99,39.98
22,140,69,2,3.99,7.98
22,140,155,3,24.99,74.97
23,147,82,5,1499.99,7499.95
23,147,172,4,49.99,199.96
23,147,41,2,2.49,4.98
23,147,37,4,1.99,7.96
23,147,138,5,8.99,44.95
24,6,108,5,29.99,149.95
24,6,134,4,249.99,999.96
24,6,174,1,599.99,599.99
25,118,4,1,12.99,12.99
25,118,126,1,399.99,399.99
26,66,37,5,1.99,9.95
26,66,128,3,149.99,449.97
27,75,33,1,4.99,4.99
27,75,110,2,14.99,29.98
27,75,16,3,1.99,5.97
27,75,83,5,29.99,149.95
28,147,1,5,9.99,49.95
28,147,141,4,39.99,159.96
29,170,80,2,1399.99,2799.98
29,170,107,4,49.99,199.96
29,170,25,2,1.29,2.58
29,170,121,4,199.99,799.96
29,170,153,5,11.99,59.95
30,177,181,1,179.99,179.99
30,177,171,4,31999.99,127999.96
30,177,35,4,2.29,9.16
30,177,46,4,14.99,59.96
31,143,41,4,2.49,9.96
31,143,10,3,79.99,239.96999999999997
31,143,124,3,899.99,2699.9700000000003
31,143,160,3,599.99,1799.97
32,164,134,2,249.99,499.98
32,164,97,5,10999.99,54999.95
32,164,190,2,4999.99,9999.98
32,164,20,4,4.99,19.96
33,181,105,2,99.99,199.98
33,181,49,5,5.99,29.950000000000003
34,203,89,5,79.99,399.95
34,203,93,4,89.99,359.96
34,203,55,3,6.99,20.97
34,203,57,5,9.99,49.95
35,153,104,5,19.99,99.94999999999999
35,153,54,2,8.99,17.98
35,153,152,1,49.99,49.99
35,153,56,5,49.99,249.95000000000002
36,176,26,1,0.99,0.99
36,176,165,5,24.99,124.94999999999999
36,176,106,5,349.99,1749.95
37,33,171,5,31999.99,159999.95
37,33,71,4,39.99,159.96
37,33,68,4,24.99,99.96
37,33,182,1,29.99,29.99
38,15,44,5,29.99,149.95
38,15,68,3,24.99,74.97
38,15,149,4,49.99,199.96
38,15,139,3,24.99,74.97
38,15,150,2,29.99,59.98
38,15,133,4,699.99,2799.96
39,81,179,3,79.99,239.96999999999997
39,81,39,1,1.99,1.99
39,81,143,1,29.99,29.99
39,81,18,4,8.99,35.96
39,81,158,3,22.99,68.97
39,81,97,4,10999.99,43999.96
40,187,138,1,8.99,8.99
40,187,51,2,39.99,79.98
40,187,101,4,549.99,2199.96
40,187,153,3,11.99,35.97
40,187,164,5,34.99,174.95000000000002
40,187,171,3,31999.99,95999.97
41,184,25,4,1.29,5.16
41,184,50,1,9.99,9.99
41,184,151,4,6.99,27.96
41,184,42,1,0.99,0.99
41,184,10,5,79.99,399.95
41,184,103,5,99.99,499.95
42,67,113,3,3999.99,11999.97
42,67,64,4,14.99,59.96
43,35,182,1,29.99,29.99
43,35,149,3,49.99,149.97
44,20,93,3,89.99,269.96999999999997
44,20,4,2,12.99,25.98
44,20,140,5,14.99,74.95
44,20,83,3,29.99,89.97
45,50,50,2,9.99,19.98
45,50,29,4,3.99,15.96
45,50,144,5,44.99,224.95000000000002
46,93,79,2,1799.99,3599.98
46,93,69,1,3.99,3.99
47,23,92,1,109.99,109.99
47,23,93,3,89.99,269.96999999999997
47,23,38,4,5.99,23.96
47,23,33,3,4.99,14.97
47,23,53,3,12.99,38.97
48,33,40,2,3.99,7.98
48,33,190,2,4999.99,9999.98
49,86,15,4,799.99,3199.96
49,86,76,3,11.99,35.97
49,86,39,3,1.99,5.97
49,86,158,5,22.99,114.94999999999999
49,86,110,4,14.99,59.96
49,86,124,4,899.99,3599.96
50,52,25,1,1.29,1.29
50,52,85,1,34.99,34.99
